path,name,attractiveness,actionability,blended,quadrant,investability,recurring,fragmentation,regulatory_demand,scale,margin,growth,headroom,reimbursement_risk,players_dach,revenue_band,pe_activity,why_now,confidence,status,n_sources
Food & Agriculture Services value chain > Food-Processing Equipment Service & Hygiene > Filling & packaging-line service,Filling & packaging-line service,57.5,50.0,28.8,Act now,open,4,3,3,3,4,4,3,2,~200-400 firms incl. OEM service arms (DE),EUR 1-50m (long tail EUR 1-5m),,,3,verified,4
Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Biogas Plant Operation & Service > Substrate & Digestate Logistics,Substrate & Digestate Logistics,38.3,75.0,28.7,Watchlist,open,4,5,4,3,2,2,4,5,"overlaps with the ~6,000 Lohnunternehmen",EUR 0.3-3m line,,,4,verified,3
Food & Agriculture Services value chain > Food Certification & Auditing > Animal-Welfare & Sustainability Label Auditing,Animal-Welfare & Sustainability Label Auditing,60.8,45.0,27.4,Too small,restricted,5,3,4,2,4,5,3,3,"~6,700 participating pig/poultry farms; several audit bodies",EUR 0.3-2k per farm audit/year,,,3,verified,4
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Refrigerated transport (TK-Distribution / Frischedienst) > Deep-freeze line-haul (TK-Fernverkehr),Deep-freeze line-haul (TK-Fernverkehr),53.3,50.0,26.6,Watchlist,open,4,4,5,3,1,3,2,2,hundreds incl. subcontractors (DE),EUR 1-10m owner-operated; networks EUR 100m+,,,4,verified,3
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Bonded / veterinary-controlled food import handling,Bonded / veterinary-controlled food import handling,54.2,45.0,24.4,Too small,restricted,3,3,5,2,3,3,4,1,dozens of specialist customs/veterinary agents & bonded stores at DE gateways,EUR 1-50m (brokers small; bonded cold stores larger),,,3,verified,6
"Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Livestock Services (Klauenpflege, Besamung, Stallhygiene) > Hoof Care (Klauenpflege)",Hoof Care (Klauenpflege),52.5,45.0,23.6,Too small,restricted,5,5,3,2,3,3,5,3,hundreds of mobile Klauenpfleger,EUR 0.05-0.5m owner-operated,,,3,verified,3
Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Agricultural Machinery Dealer Service & Repair (Landtechnik-Werkstatt),Agricultural Machinery Dealer Service & Repair (Landtechnik-Werkstatt),48.3,45.0,21.7,Pass,restricted,4,4,2,4,3,3,4,3,"~4,000 Landtechnik firms (LandBauTechnik-Bundesverband)",Landtechnik market ~EUR 9.3bn (2023); dealer EUR 1-30m,,,4,verified,4
Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Agricultural Irrigation Services (Bewässerung / Beregnung),Agricultural Irrigation Services (Bewässerung / Beregnung),48.3,45.0,21.7,Pass,restricted,4,3,4,3,2,4,3,3,regional Wasser- und Bodenverbände + private irrigation contractors,Verband budgets EUR 1-20m; contractors EUR 0.3-5m,,,4,verified,4
"Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Precision-Ag, Drone & Soil-Mapping Services","Precision-Ag, Drone & Soil-Mapping Services",47.5,45.0,21.4,Too small,restricted,3,5,3,2,3,5,5,4,hundreds of small/emerging providers,EUR 0.05-1m early-stage; commercial drone market to >EUR 1.6bn by 2030,,,3,verified,3
Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Crop-Protection & Agronomy Advisory,Crop-Protection & Agronomy Advisory,44.2,45.0,19.9,Too small,restricted,3,3,4,2,4,3,3,3,state chambers + Erzeugerringe + private advisors,private advisory EUR 0.2-5m,,,3,verified,4
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Foodservice / catering delivery wholesale (Zustellgroßhandel) > National full-line delivery wholesalers,National full-line delivery wholesalers,45.0,37.5,16.9,Too small,restricted,5,2,4,2,2,3,1,2,~4 national groups (DE),EUR 1-3bn each,,,4,verified,3
Food & Agriculture Services value chain > Cold-Chain & Food Logistics > Last-mile grocery & fresh/frozen home delivery,Last-mile grocery & fresh/frozen home delivery,36.7,37.5,13.8,Too small,restricted,3,2,4,2,1,4,1,2,~5-10 players of scale (DE),EUR 100m-500m (e.g. Flaschenpost ~EUR 468m est.),,,4,verified,4
"Food & Agriculture Services value chain > Food Certification & Auditing > Organic / Bio Certification (EU-Öko-VO Kontrollstellen) > Association/Verband Organic Certification (Demeter, Bioland, Naturland)","Association/Verband Organic Certification (Demeter, Bioland, Naturland)",48.3,8.0,3.9,Blocked,blocked,5,4,3,2,3,3,2,3,"Handful of associations, audited via ~19 control bodies",EUR 0.5-2k premium audit surcharge/operator/year,,,4,verified,2
"Food & Agriculture Services value chain > Agricultural Contracting & Farm Services > Livestock Services (Klauenpflege, Besamung, Stallhygiene) > AI / Breeding Services (Besamung & Tierzucht)",AI / Breeding Services (Besamung & Tierzucht),45.0,8.0,3.6,Blocked,blocked,5,2,4,2,3,2,3,2,~20 Besamungsstationen / regional coops + technicians,coops EUR 10-100m,,,5,verified,5
"Food & Agriculture Services value chain > Agri-Inputs Distribution, Advisory & Land Management > Agri-Input Distribution (Landhandel: seed / fertiliser / crop-protection) > Co-operative Warengenossenschaften (Raiffeisen)",Co-operative Warengenossenschaften (Raiffeisen),43.3,8.0,3.5,Blocked,blocked,4,3,4,5,2,2,1,4,~500 Warengenossenschaften (DE); ~100 Raiffeisen co-ops behind Agravis,EUR 5-100m per primary co-op,,,5,verified,5
"Food & Agriculture Services value chain > Agri-Inputs Distribution, Advisory & Land Management > Agri-Input Distribution (Landhandel: seed / fertiliser / crop-protection) > Private / independent Landhandel & grain trade",Private / independent Landhandel & grain trade,83.3,0.0,0.0,Unrated,open,4,5,4,0,0,0,0,0,"~675 private Landhandel firms (DE, 2010)",EUR 2-50m typical,,,3,grounded,1
"Food & Agriculture Services value chain > Agri-Inputs Distribution, Advisory & Land Management > Agri-Input Distribution (Landhandel: seed / fertiliser / crop-protection) > Animal-feed (Mischfutter) distribution & advisory",Animal-feed (Mischfutter) distribution & advisory,75.0,0.0,0.0,Unrated,open,5,3,4,0,0,0,0,0,"~264 compound-feed mills >500t/yr (DE, 2023/24)",sector ~EUR 8.3bn (2024); mills EUR 5-200m,,,4,grounded,2
"Food & Agriculture Services value chain > Agri-Inputs Distribution, Advisory & Land Management > Agricultural Advisory & Farm Bookkeeping/Tax (landwirtschaftliche Buchstelle) > Farm bookkeeping, tax & payroll (Buchstelle core)","Farm bookkeeping, tax & payroll (Buchstelle core)",91.7,0.0,0.0,Unrated,open,5,4,5,0,0,0,0,0,hundreds of qualified Buchstellen (DE),EUR 0.5-5m per practice,,,4,grounded,1
"Food & Agriculture Services value chain > Agri-Inputs Distribution, Advisory & Land Management > Agricultural Advisory & Farm Bookkeeping/Tax (landwirtschaftliche Buchstelle) > Farm business & agronomic advisory (private Beratung)",Farm business & agronomic advisory (private Beratung),75.0,0.0,0.0,Unrated,open,3,5,4,0,0,0,0,0,many hundreds of advisors (Kammern + private),EUR 0.2-2m typical,,,3,grounded,2
"Food & Agriculture Services value chain > Agri-Inputs Distribution, Advisory & Land Management > Farm Succession & Land-Management / Estate Services > Land management, leasing & estate administration","Land management, leasing & estate administration",83.3,0.0,0.0,Unrated,open,4,5,4,0,0,0,0,0,many local estate managers / Rentkammern,EUR 0.2-2m typical,,,2,grounded,1
"Food & Agriculture Services value chain > Agri-Inputs Distribution, Advisory & Land Management > Subsidy-Application & Agricultural Surveying Services (GAP / Agrarantrag)",Subsidy-Application & Agricultural Surveying Services (GAP / Agrarantrag),91.7,0.0,0.0,Unrated,open,5,4,5,0,0,0,0,0,chambers + associations + private advisors serving ~250k+ subsidy applicants,EUR 0.1-2m per service firm; per-application fees,,,4,grounded,3
"Food & Agriculture Services value chain > Agri-Inputs Distribution, Advisory & Land Management > Viticulture & Horticulture Services",Viticulture & Horticulture Services,66.7,0.0,0.0,Unrated,open,3,5,3,0,0,0,0,0,"many hundreds of viticulture/horticulture Lohnunternehmen; ~27,200 horticulture holdings (DE)",EUR 0.3-5m typical contractor,,,3,grounded,2
"Food & Agriculture Services value chain > Agri-Inputs Distribution, Advisory & Land Management > Farm Software & Herd Management (light)",Farm Software & Herd Management (light),58.3,0.0,0.0,Unrated,open,4,2,4,0,0,0,0,0,a handful of major FMIS vendors + niche apps,SaaS modules; vendor revenue EUR low-single to tens of millions,,,3,grounded,2
Food & Agriculture Services value chain > Pest Control & Food-Industry Hygiene > Commercial & Food-Industry Pest Control (Schädlingsbekämpfung / HACCP-Monitoring) > HACCP / IFS Food-Facility Monitoring Contracts,HACCP / IFS Food-Facility Monitoring Contracts,91.7,0.0,0.0,Unrated,open,5,4,5,0,0,0,0,0,~300-600 IFS-capable providers (DE),EUR 2-8k per site/yr; multi-site contracts EUR 50k-1m+,,,4,grounded,2
Food & Agriculture Services value chain > Pest Control & Food-Industry Hygiene > Commercial & Food-Industry Pest Control (Schädlingsbekämpfung / HACCP-Monitoring) > Digital / Connected Smart Pest Monitoring (IoT-Fallen),Digital / Connected Smart Pest Monitoring (IoT-Fallen),75.0,0.0,0.0,Unrated,open,5,3,4,0,0,0,0,0,~5-15 platform vendors (DE-relevant),EUR 5-30 per device/month recurring,,,4,grounded,3
Food & Agriculture Services value chain > Pest Control & Food-Industry Hygiene > Commercial & Food-Industry Pest Control (Schädlingsbekämpfung / HACCP-Monitoring) > General Commercial & Urban Pest Control (Gewerbe/Kammerjäger),General Commercial & Urban Pest Control (Gewerbe/Kammerjäger),75.0,0.0,0.0,Unrated,open,4,5,3,0,0,0,0,0,"~800-1,200 firms (DE)",EUR 0.2-2m typical,,,3,grounded,1
Food & Agriculture Services value chain > Pest Control & Food-Industry Hygiene > Stored-Product & Structural Fumigation (Begasung / Vorratsschutz),Stored-Product & Structural Fumigation (Begasung / Vorratsschutz),66.7,0.0,0.0,Unrated,open,3,3,5,0,0,0,0,0,~50-150 licensed fumigation firms (DE),EUR 0.5-5m typical,,,4,grounded,2
Food & Agriculture Services value chain > Pest Control & Food-Industry Hygiene > Bird & Pigeon Control (Vogel-/Taubenabwehr),Bird & Pigeon Control (Vogel-/Taubenabwehr),66.7,0.0,0.0,Unrated,open,3,5,3,0,0,0,0,0,~150-300 specialist/adjacent firms (DE),EUR 0.2-3m typical,,,3,grounded,2
Food & Agriculture Services value chain > Pest Control & Food-Industry Hygiene > Wood-Destroying Pest & Structural Wood Protection (Bekämpfender Holzschutz),Wood-Destroying Pest & Structural Wood Protection (Bekämpfender Holzschutz),66.7,0.0,0.0,Unrated,open,2,5,4,0,0,0,0,0,~200-500 qualified firms (DE),EUR 0.3-3m typical,,,3,grounded,2
Food & Agriculture Services value chain > Pest Control & Food-Industry Hygiene > Disinfection Services (Desinfektion / IfSG),Disinfection Services (Desinfektion / IfSG),83.3,0.0,0.0,Unrated,open,4,5,4,0,0,0,0,0,"~500-1,000 firms/providers (DE, overlapping cleaning & pest)",EUR 0.2-3m typical,,,3,grounded,2
Food & Agriculture Services value chain > Pest Control & Food-Industry Hygiene > Food-Plant Deep Cleaning & CIP Hygiene Services,Food-Plant Deep Cleaning & CIP Hygiene Services,75.0,0.0,0.0,Unrated,open,5,3,4,0,0,0,0,0,~200-500 food-capable industrial cleaners (DE),EUR 0.5-5m regional; large FM contracts EUR 10m+,,,3,grounded,3
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Microbiological food testing (routine self-monitoring) > Pathogen detection & hygiene-indicator counts,Pathogen detection & hygiene-indicator counts,91.7,0.0,0.0,Unrated,open,5,4,5,0,0,0,0,0,part of ~150-250 micro labs,EUR 0.5-3m typical,,,4,grounded,1
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Chemical residues & contaminants > Pesticide residue analysis,Pesticide residue analysis,75.0,0.0,0.0,Unrated,open,4,3,5,0,0,0,0,0,~20-40 high-capacity pesticide labs,EUR 3-30m,,,4,grounded,1
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Chemical residues & contaminants > Mycotoxin testing,Mycotoxin testing,83.3,0.0,0.0,Unrated,open,4,4,5,0,0,0,0,0,~30-60 labs (residue + LUFA/agri),EUR 1-15m,,,4,grounded,1
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Chemical residues & contaminants > Heavy metals & inorganic contaminants,Heavy metals & inorganic contaminants,66.7,0.0,0.0,Unrated,open,3,3,5,0,0,0,0,0,~30-60 ICP-MS-equipped labs,EUR 2-20m,,,3,grounded,1
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Allergen & authenticity / food-fraud testing > Allergen testing (ELISA/PCR),Allergen testing (ELISA/PCR),75.0,0.0,0.0,Unrated,open,4,3,5,0,0,0,0,0,~40-80 labs,EUR 0.5-10m,,,4,grounded,1
"Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Allergen & authenticity / food-fraud testing > Authenticity / origin / species (DNA, isotope, NMR)","Authenticity / origin / species (DNA, isotope, NMR)",41.7,0.0,0.0,Unrated,open,2,3,3,0,0,0,0,0,~10-25 specialist labs,EUR 1-20m,,,3,grounded,1
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Environmental hygiene & water testing for food producers > Swab / environmental & personnel hygiene monitoring,Swab / environmental & personnel hygiene monitoring,91.7,0.0,0.0,Unrated,open,5,5,4,0,0,0,0,0,part of ~300-500+ hygiene providers,EUR 0.3-2m,,,4,grounded,1
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Environmental hygiene & water testing for food producers > Process & drinking water / Legionella testing,Process & drinking water / Legionella testing,91.7,0.0,0.0,Unrated,open,5,4,5,0,0,0,0,0,~150-300 accredited water labs,EUR 0.5-5m,,,4,grounded,1
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Feed & agricultural sample testing,Feed & agricultural sample testing,66.7,0.0,0.0,Unrated,open,4,3,4,0,0,0,0,0,~15-30 feed/agri labs (LUFA network + private),EUR 2-25m,,,4,grounded,3
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Food-contact / packaging migration testing,Food-contact / packaging migration testing,58.3,0.0,0.0,Unrated,open,3,2,5,0,0,0,0,0,~10-20 migration-capable labs,EUR 1-15m,,,4,grounded,3
Food & Agriculture Services value chain > Food-Safety Testing & Laboratories > Shelf-life & sensory testing,Shelf-life & sensory testing,50.0,0.0,0.0,Unrated,open,3,4,2,0,0,0,0,0,~40-80 labs/institutes offering shelf-life or sensory,EUR 0.5-8m,,,3,grounded,3
